tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2023-01-01,1811.4322432997449,109416864544
2023-01-02,2070.6951113596647,108874501515
2023-01-03,2290.134652736922,108801053845
2023-01-04,3192.3762209682754,108692832217
2023-01-05,2583.473562627782,108340300221
2023-01-06,2534.3824573321135,108507163127
2023-01-07,1931.214289992528,108848348035
2023-01-08,2276.966002174298,108934894219
2023-01-09,2792.170736821869,108487247175
2023-01-10,2597.083244892373,108546981800
2023-01-11,2706.3055997023057,108341853491
2023-01-12,2721.7638447331747,108298134693
2023-01-13,3064.6261273201603,108415246629
2023-01-14,3011.6262769295804,108511834059
2023-01-15,2398.053281489644,108296985205
2023-01-16,2879.143362221346,108392695584
2023-01-17,2798.829126428616,108533581326
2023-01-18,3325.5693214221074,108422817169
2023-01-19,2558.1621944587623,108403070550
2023-01-20,2623.5059831735234,108678906123
2023-01-21,2210.6867730108834,108545506698
2023-01-22,1956.0181627834727,108891672082
2023-01-23,2326.5967595922507,108832752249
2023-01-24,3065.7900289118984,108630100527
2023-01-25,2657.008095506182,108543093004
2023-01-26,2746.665977213528,108499288876
2023-01-27,2648.645953020508,108403225441
2023-01-28,1952.8310928972742,108897299392
2023-01-29,2396.5231889380075,108677977525
2023-01-30,2298.524237343363,108519642064
2023-01-31,3109.7650405355234,108506882047
2023-02-01,3242.643566495636,108362374217
2023-02-02,3446.3253518742495,108031130324
2023-02-03,3538.40905595236,108162318070
2023-02-04,2804.182240748108,108299159490
2023-02-05,2496.9660691575364,108469992015
2023-02-06,3031.7883490561976,108517726041
2023-02-07,3931.0306847323536,108090755040
2023-02-08,4118.789207557112,107868173706
2023-02-09,4280.595381825722,108244669031
2023-02-10,3130.6851132724114,108391449606
2023-02-11,2236.0097637941735,108515206975
2023-02-12,2176.614078621878,108568583883
2023-02-13,3067.7371827994866,108349415809
2023-02-14,6270.725255417388,108359165487
2023-02-15,4611.643924864256,107997105063
2023-02-16,4795.605241233564,108119870192
2023-02-17,4237.421993825458,107246290313
2023-02-18,3218.3003030479417,107572535768
2023-02-19,3108.9299153344637,107713385506
2023-02-20,3951.055596707039,107899731637
2023-02-21,3910.256993279634,107662798019
2023-02-22,4272.322327618496,107473851064
2023-02-23,4427.8729861291495,107653828349
2023-02-24,3646.2668804138298,107279613495
2023-02-25,2568.073633940682,107829588302
2023-02-26,2549.8040255706674,108007550257
2023-02-27,2877.474593637874,108031903221
2023-02-28,3018.624715839151,107546631941
2023-03-01,3779.803614464685,107745380322
2023-03-02,3443.4772086880866,107401831106
2023-03-03,3728.394834968297,107393412339
2023-03-04,2828.2758362923,107602711572
2023-03-05,3115.210068392059,107762761412
2023-03-06,4026.6919752959802,107548617057
2023-03-07,3943.1815983356155,107562148529
2023-03-08,3923.9550214028586,107453748231
2023-03-09,4263.12334012675,107464689660
2023-03-10,3932.05463645595,107092774949
2023-03-11,11346.361170491775,107406601881
2023-03-12,3480.8956393598646,107587798681
2023-03-13,4028.7649015649126,107624028213
2023-03-14,3815.0077028377373,107691890022
2023-03-15,3470.212190031873,107370864301
2023-03-16,3124.789624635303,107719498729
2023-03-17,3113.7744359693797,107604222912
2023-03-18,2271.338730223876,107734484837
2023-03-19,2329.952664574556,107817087999
2023-03-20,2718.1907717036975,107869280107
2023-03-21,2425.631800497881,107635218371
2023-03-22,2536.6722138371233,107701268710
2023-03-23,2789.3376095500903,107437913338
2023-03-24,2841.020783026286,107615992484
2023-03-25,2135.6557323271713,107672872204
2023-03-26,2284.3182572942655,107663643041
2023-03-27,3370.8420441014905,107547095988
2023-03-28,3555.3800566572017,107485212888
2023-03-29,3658.590614593776,107463463555
2023-03-30,3944.001849868025,107533384225
2023-03-31,3315.8784601389834,107700474728
2023-04-01,2601.7258685808365,107529415269
2023-04-02,2472.491596889527,107626049500
2023-04-03,3509.596866437858,107037840970
2023-04-04,3598.7568067344673,106177044843
2023-04-05,4065.783511527085,106356342432
2023-04-06,3403.028784907361,105776576985
2023-04-07,2872.9633921466548,106860372535
2023-04-08,2611.068024363522,107120954401
2023-04-09,2460.7491199346464,106893733595
2023-04-10,2928.1814294911915,107032998644
2023-04-11,3438.5707925182496,106784181483
2023-04-12,2786.0366776331325,106137704453
2023-04-13,3494.6537565801536,98436638731
2023-04-14,3653.4422124074817,105789466253
2023-04-15,2853.0757073185623,106457746379
2023-04-16,3129.2462978309277,107230247516
2023-04-17,4183.919844275133,106808408036
2023-04-18,6368.50863529705,106664480401
2023-04-19,8768.994755915832,106843098443
2023-04-20,8112.43823974915,105985846427
2023-04-21,4912.825040423059,107249131290
2023-04-22,4574.129915046458,108423556871
2023-04-23,5067.454063825248,108085854588
2023-04-24,5397.773494587665,108014860253
2023-04-25,4683.301459260059,107873465063
2023-04-26,4946.584512004867,107927969997
2023-04-27,4563.5623125726115,107875694472
2023-04-28,4658.317406059561,107817932488
2023-04-29,4310.365856505193,108087574757
2023-04-30,5317.539544798516,107706289723
2023-05-01,8326.160569381245,107196873962
2023-05-02,10313.812705340115,107240872645
2023-05-03,9047.388530317538,107086874844
2023-05-04,9348.764905192831,107530035553
2023-05-05,16720.44109446292,107417422783
2023-05-06,16438.037011023647,107046934391
